observed_on_string,observed_on,time_observed_at,time_zone,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
2017/09/05 8:07 AM PDT,2017-09-05,2017-09-05 15:07:00 UTC,Pacific Time (US & Canada),"Narok, KE",-1.278259938,35.15295195,785,,,,31447,,obscured,true,,,Buvol kaferský,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2017/09/06 7:49 AM PDT,2017-09-06,2017-09-06 14:49:00 UTC,Pacific Time (US & Canada),"Narok, KE",-1.319126154,35.1599894247,1012,,,,31447,,obscured,true,,,Buvol kaferský,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2017/09/06 4:03 PM PDT,2017-09-06,2017-09-06 23:03:00 UTC,Pacific Time (US & Canada),"Narok, KE",-1.3137143585,35.0700331243,1294,,,,31447,,obscured,true,,,Buvol kaferský,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2017/09/06 4:48 PM PDT,2017-09-06,2017-09-06 23:48:00 UTC,Pacific Time (US & Canada),"Narok, KE",-1.3094092272,35.1968145196,1389,,,,31447,,obscured,true,,,Southern Savanna Buffalo,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2017/09/08 9:05 AM PDT,2017-09-08,2017-09-08 16:05:00 UTC,Pacific Time (US & Canada),Kenya,-1.2797521189,36.8034642149,646,,,,31447,,obscured,true,,,Southern Savanna Buffalo,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2012/07/18 2:29 PM EDT,2012-07-18,2012-07-18 18:29:00 UTC,Eastern Time (US & Canada),"Nakuru, KE",-0.3158601967,36.1641723091,977,,,,31451,,obscured,true,,,Southern Savanna Buffalo,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2012/07/18 5:43 PM EDT,2012-07-18,2012-07-18 21:43:00 UTC,Eastern Time (US & Canada),"Nakuru, KE",-0.4246727151,36.0150073837,244,,,,31451,,obscured,true,,,Southern Savanna Buffalo,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2017-09-29 9:55:21 AM GMT+03:00,2017-09-29,2017-09-29 06:55:21 UTC,Baghdad,"Tsavo East, Voi, KE-TT, KE",-3.3343098701,38.9614902288,8,,,,31425,,obscured,true,,,Cape Buffalo,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
Fri Mar 17 2017 07:37:39 GMT-0400 (EDT),2017-03-17,2017-03-17 11:37:39 UTC,Eastern Time (US & Canada),Kenya,-1.3742432367,36.9605706803,42142,,,,42142,,obscured,true,,,Cape Buffalo,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2013/11/14 11:15 AM UTC,2013-11-14,,UTC,"Kitui South, KE-KT, KE",-2.0932122583,38.571434504,789,,,,31441,,obscured,true,,,Syncerus caffer caffer,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2013/11/15 10:31 AM UTC,2013-11-15,,UTC,"Kwale, KE",-4.2190100378,39.2632883858,211,,,,31407,,obscured,true,,,Syncerus caffer caffer,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
1985/07/08 12:00 AM +0100,1985-07-08,1985-07-07 22:00:00 UTC,Amsterdam,Kenya,-0.3716382453,36.9297892398,212,,,,31451,,obscured,true,,,Syncerus caffer caffer,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
